"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.082389831543","19.2816600799561","21.807710647583","21.3231792449951","19.7571506500244","","14.902910232544","18.8882808685303","","20.7926406860352","19.028829574585","21.5635509490967","22.1767807006836","21.7505397796631","20.6340808868408","21.8776302337646","19.6179790496826","23.201379776001","21.8537502288818","18.5214084951566","20.1234403394689","19.4014270600936","","10.9564429608125","","","","",
"Africa Eastern and Southern","AFE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9077301025391","","","","18.0015392303467","18.1431407928467","18.0049896240234","","17.0822248458862","","18.1637001037598","18.6526757626671","19.4848194122314","17.4679158828022","18.9779653549194","17.3620891571045","17.3513063092566","18.6662750914785","18.90159034729","18.5068975878254","15.8905396021243","15.5322399139404","15.896857713541","15.024640083313","15.6886049826857","",
"Afghanistan","AFG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0771293640137","16.0484294891357","10.3568000793457","14.1028003692627","14.4659299850464","12.5089998245239","16.2117004394531","15.6613798141479","","","","","","","","",
"Africa Western and Central","AFW","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8203601837158","15.3238096237183","15.7315249443055","14.5252103805542","16.4000196456909","17.0561246871948","16.9791898727417","17.9546394348144","","18.0316905975342","18.1756191253662","16.5039100646973","14.8677701950073","14.5397996902466","14.9624490263963","13.9848799705505","14.7278146743775","13.2992849349975","16.137779712677","16.8831596374512","14.8143742207793","14.7968659004706","15.3551631854332","14.7336452370994","15.3105804752341","","",
"Angola","AGO","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.11467981338501","","5.2550802230835","","","","","7.99235010147095","7.45479011535645","","","","8.68476963043213","","8.37043244524554","8.82697061127785","","8.9187765351992","6.55097404850717","6.76377686213957","5.77752454566543","6.04535564723515","5.29473572273771","6.91961006302706","6.64047212078077","7.73896250991202","6.36976605603197","6.52464654374875",
"Albania","ALB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1533899307251","9.6240701675415","9.68245983123779","10.1370296478272","10.5819301605225","9.88691997528076","10.5735998153687","10.7031602859497","11.3579702377319","10.9329500198364","11.1771898269653","","","","10.9672234716811","11.509856714685","12.1239099502563","10.9181681167363","11.1775503158569","13.596960067749","12.3852100372315","10.8817322436585","13.4334001541138","10.267430305481","9.40900993347168","9.01408958435059","10.8565797805786","","",
"Andorra","AND","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.84161391329076","6.19552993774414","13.3152103424072","10.4428100585938","9.99098014831543","9.39243984222412","13.4619197845459","10.8952398300171","8.99186922593895","10.264735366383","6.96128988265991","11.6209201812744","12.0045154081126","12.1290796233618",
"Arab World","ARB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6948299407959","","11.224630355835","","12.489239692688","","","","","","","","","","","11.539159554871","12.20389147999","","","","","",
"United Arab Emirates","ARE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5688695907593","12.7982301712036","14.7556104660034","","","","",
"Argentina","ARG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3987703323364","","15.621259689331","15.8775396347046","16.2261505126953","16.3559608459473","16.4422092437744","14.3547201156616","15.1393003463745","15.8031702041626","15.5098400115967","15.1015701293945","15.7478399276733","16.0206699371338","15.0479698181152","15.1585597991943","14.5182600021362","14.457929611206","13.7993297576904","13.9633102416992","13.3555402755737","13.2639198303223","12.5233402252197","12.5144596099853","12.4222898483276","12.2848997116089","12.7075796127319","13.9669579469216","","",
"Armenia","ARM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6480903625488","13.578519821167","13.4655895233154","14.2684497833252","13.4512195587158","12.4005098342896","12.593339920044","12.3689699172974","11.1367597579956","9.36711978912354","10.6563596725464","10.1971998214722","10.4031295776367","8.67858759584602","8.57524427236558","8.82777976989746","9.6553201675415","9.4465503692627","9.03689956665039","9.44001466301154","8.70836280773259",
"American Samoa","ASM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4394102096558","","","11.7015399932861","","","","","","","6.92814016342163","","","10.1432566158553","10.7302337628903","10.3166237216653","7.63021186110744","6.48356977771811","7.17285462739055","7.58762543454399","9.5436641711259","7.37875673022059","6.85999508093725","7.80537969275292","8.66960664463981","11.0358980547858","5.87004619030681",
